budget_total;Value;data
0.01;Audio;4.46E-11
0.02;Audio;9.72E-11
0.03;Audio;1.35E-10
0.04;Audio;3.27E-10
0.05;Audio;3.61E-10
0.06;Audio;4.89E-10
0.07;Audio;4.46E-10
0.08;Audio;5.13E-10
0.09;Audio;5.37E-10
0.1;Audio;6.20E-10
0.11;Audio;9.58E-10
0.12;Audio;5.64E-10
0.13;Audio;1.46E-09
0.14;Audio;1.10E-09
0.15;Audio;1.03E-09
0.16;Audio;1.07E-09
0.17;Audio;2.21E-09
0.18;Audio;1.31E-09
0.19;Audio;1.50E-09
0.2;Audio;1.40E-09
0.21;Audio;1.49E-09
0.22;Audio;1.59E-09
0.23;Audio;3.54E-09
0.24;Audio;1.61E-09
0.25;Audio;3.49E-09
0.26;Audio;4.07E-09
0.27;Audio;4.24E-09
0.28;Audio;2.32E-09
0.29;Audio;2.19E-09
0.3;Audio;4.69E-09
0.31;Audio;2.40E-09
0.32;Audio;2.90E-09
0.33;Audio;2.94E-09
0.34;Audio;3.54E-09
0.35;Audio;5.00E-09
0.36;Audio;3.09E-09
0.37;Audio;5.43E-09
0.38;Audio;3.41E-09
0.39;Audio;6.33E-09
0.4;Audio;2.79E-09
0.41;Audio;4.53E-09
0.42;Audio;2.24E-09
0.43;Audio;4.14E-09
0.44;Audio;2.44E-09
0.45;Audio;7.42E-09
0.46;Audio;6.88E-09
0.47;Audio;4.19E-09
0.48;Audio;4.31E-09
0.49;Audio;4.59E-09
0.5;Audio;8.36E-09
0.51;Audio;6.96E-09
0.52;Audio;3.66E-09
0.53;Audio;5.05E-09
0.54;Audio;5.19E-09
0.55;Audio;3.28E-09
0.56;Audio;1.78E-09
0.57;Audio;1.60E-09
0.58;Audio;3.77E-09
0.59;Audio;3.27E-09
0.6;Audio;6.05E-09
0.61;Audio;6.83E-09
0.62;Audio;3.42E-09
0.63;Audio;6.54E-09
0.64;Audio;6.69E-09
0.65;Audio;8.74E-09
0.66;Audio;4.89E-09
0.67;Audio;4.77E-09
0.68;Audio;1.07E-08
0.69;Audio;8.18E-09
0.7;Audio;8.17E-09
0.71;Audio;8.96E-09
0.72;Audio;9.08E-09
0.73;Audio;1.20E-08
0.74;Audio;8.99E-09
0.75;Audio;9.59E-09
0.76;Audio;9.99E-09
0.77;Audio;2.22E-08
0.78;Audio;1.79E-08
0.79;Audio;1.24E-08
0.8;Audio;1.44E-08
0.81;Audio;7.58E-09
0.82;Audio;1.09E-08
0.83;Audio;2.25E-08
0.84;Audio;6.57E-09
0.85;Audio;1.13E-08
0.86;Audio;6.98E-09
0.87;Audio;1.15E-08
0.88;Audio;1.24E-08
0.89;Audio;1.22E-08
0.9;Audio;1.24E-08
0.91;Audio;1.28E-08
0.92;Audio;1.30E-08
0.93;Audio;1.41E-08
0.94;Audio;1.35E-08
0.95;Audio;1.38E-08
0.96;Audio;1.52E-08
0.97;Audio;1.46E-08
0.98;Audio;3.48E-08
0.99;Audio;1.34E-08
1;Audio;1.56E-08
1.01;Audio;1.59E-08
1.02;Audio;1.59E-08
1.03;Audio;1.76E-08
1.04;Audio;3.24E-08
1.05;Audio;1.74E-08
1.06;Audio;2.25E-08
1.07;Audio;1.83E-08
1.08;Audio;2.98E-08
1.09;Audio;2.04E-08
1.1;Audio;1.96E-08
1.11;Audio;1.99E-08
1.12;Audio;2.06E-08
1.13;Audio;2.21E-08
1.14;Audio;2.10E-08
1.15;Audio;4.33E-08
1.16;Audio;2.28E-08
1.17;Audio;2.34E-08
1.18;Audio;2.38E-08
1.19;Audio;3.56E-08
1.2;Audio;3.03E-08
