budget_total;Value;data
0.01;Audio_TOTAL_Clicks;0.000000445905
0.02;Audio_TOTAL_Clicks;0.000000486174
0.03;Audio_TOTAL_Clicks;0.000000450352
0.04;Audio_TOTAL_Clicks;0.000000818464
0.05;Audio_TOTAL_Clicks;0.000000722022
0.06;Audio_TOTAL_Clicks;0.0000008155
0.07;Audio_TOTAL_Clicks;0.00000063729
0.08;Audio_TOTAL_Clicks;0.000000641399
0.09;Audio_TOTAL_Clicks;0.000000597039
0.1;Audio_TOTAL_Clicks;0.000000619728
0.11;Audio_TOTAL_Clicks;0.000000870809
0.12;Audio_TOTAL_Clicks;0.000000470146
0.13;Audio_TOTAL_Clicks;0.00000112339
0.14;Audio_TOTAL_Clicks;0.000000782318
0.15;Audio_TOTAL_Clicks;0.000000687672
0.16;Audio_TOTAL_Clicks;0.000000665844
0.17;Audio_TOTAL_Clicks;0.0000012989
0.18;Audio_TOTAL_Clicks;0.000000727533
0.19;Audio_TOTAL_Clicks;0.000000791909
0.2;Audio_TOTAL_Clicks;0.000000699987
0.21;Audio_TOTAL_Clicks;0.000000711861
0.22;Audio_TOTAL_Clicks;0.000000721981
0.23;Audio_TOTAL_Clicks;0.00000153822
0.24;Audio_TOTAL_Clicks;0.000000669401
0.25;Audio_TOTAL_Clicks;0.00000139769
0.26;Audio_TOTAL_Clicks;0.00000156708
0.27;Audio_TOTAL_Clicks;0.00000156896
0.28;Audio_TOTAL_Clicks;0.000000827449
0.29;Audio_TOTAL_Clicks;0.000000756196
0.3;Audio_TOTAL_Clicks;0.00000156212
0.31;Audio_TOTAL_Clicks;0.000000772807
0.32;Audio_TOTAL_Clicks;0.000000905012
0.33;Audio_TOTAL_Clicks;0.000000891625
0.34;Audio_TOTAL_Clicks;0.00000104035
0.35;Audio_TOTAL_Clicks;0.00000142749
0.36;Audio_TOTAL_Clicks;0.000000857627
0.37;Audio_TOTAL_Clicks;0.00000146844
0.38;Audio_TOTAL_Clicks;0.000000896259
0.39;Audio_TOTAL_Clicks;0.00000162184
0.4;Audio_TOTAL_Clicks;0.000000696515
0.41;Audio_TOTAL_Clicks;0.00000110483
0.42;Audio_TOTAL_Clicks;0.000000532353
0.43;Audio_TOTAL_Clicks;0.000000962397
0.44;Audio_TOTAL_Clicks;0.000000554177
0.45;Audio_TOTAL_Clicks;0.00000164915
0.46;Audio_TOTAL_Clicks;0.00000149629
0.47;Audio_TOTAL_Clicks;0.000000892285
0.48;Audio_TOTAL_Clicks;0.000000897803
0.49;Audio_TOTAL_Clicks;0.000000936449
0.5;Audio_TOTAL_Clicks;0.00000167257
0.51;Audio_TOTAL_Clicks;0.0000013651
0.52;Audio_TOTAL_Clicks;0.000000703268
0.53;Audio_TOTAL_Clicks;0.000000952984
0.54;Audio_TOTAL_Clicks;0.000000960755
0.55;Audio_TOTAL_Clicks;0.000000597237
0.56;Audio_TOTAL_Clicks;0.000000317341
0.57;Audio_TOTAL_Clicks;0.000000281309
0.58;Audio_TOTAL_Clicks;0.00000065084
0.59;Audio_TOTAL_Clicks;0.000000553932
0.6;Audio_TOTAL_Clicks;0.00000100842
0.61;Audio_TOTAL_Clicks;0.00000112024
0.62;Audio_TOTAL_Clicks;0.000000551291
0.63;Audio_TOTAL_Clicks;0.00000103762
0.64;Audio_TOTAL_Clicks;0.00000104587
0.65;Audio_TOTAL_Clicks;0.00000134533
0.66;Audio_TOTAL_Clicks;0.000000741231
0.67;Audio_TOTAL_Clicks;0.000000712578
