budget_total;Value;data;
0.01;Audio_cold;2.04E-09;
0.02;Audio_cold;8.46E-09;
0.03;Audio_cold;1.37E-06;
0.04;Audio_cold;1.44E-03;
0.05;Audio_cold;2.46E-03;
0.06;Audio_cold;3.08E-03;
0.07;Audio_cold;3.65E-03;
0.08;Audio_cold;4.10E-03;
0.09;Audio_cold;4.47E-03;
0.1;Audio_cold;4.81E-03;
0.11;Audio_cold;5.14E-03;
0.12;Audio_cold;5.38E-03;
0.13;Audio_cold;5.62E-03;
0.14;Audio_cold;5.85E-03;
0.15;Audio_cold;6.08E-03;
0.16;Audio_cold;6.32E-03;
0.17;Audio_cold;6.55E-03;
0.18;Audio_cold;6.79E-03;
0.19;Audio_cold;7.02E-03;
0.2;Audio_cold;7.25E-03;
0.21;Audio_cold;7.49E-03;
0.22;Audio_cold;7.72E-03;
0.23;Audio_cold;7.95E-03;
0.24;Audio_cold;8.18E-03;
0.25;Audio_cold;8.42E-03;
0.26;Audio_cold;8.65E-03;
0.27;Audio_cold;8.88E-03;
0.28;Audio_cold;9.11E-03;
0.29;Audio_cold;9.34E-03;
0.3;Audio_cold;9.58E-03;
0.31;Audio_cold;9.81E-03;
0.32;Audio_cold;1.00E-02;
0.33;Audio_cold;1.03E-02;
0.34;Audio_cold;1.05E-02;
0.35;Audio_cold;1.07E-02;
0.36;Audio_cold;1.10E-02;
0.37;Audio_cold;1.12E-02;
0.38;Audio_cold;1.14E-02;
0.39;Audio_cold;1.16E-02;
0.4;Audio_cold;1.19E-02;
0.41;Audio_cold;1.21E-02;
0.42;Audio_cold;1.23E-02;
0.43;Audio_cold;1.25E-02;
0.44;Audio_cold;1.28E-02;
0.45;Audio_cold;1.30E-02;
0.46;Audio_cold;1.32E-02;
0.47;Audio_cold;1.34E-02;
0.48;Audio_cold;1.36E-02;
0.49;Audio_cold;1.39E-02;
0.5;Audio_cold;1.41E-02;
0.51;Audio_cold;1.43E-02;
0.52;Audio_cold;1.45E-02;
0.53;Audio_cold;1.47E-02;
0.54;Audio_cold;1.49E-02;
0.55;Audio_cold;1.50E-02;
0.56;Audio_cold;1.52E-02;
0.57;Audio_cold;1.54E-02;
0.58;Audio_cold;1.56E-02;
0.59;Audio_cold;1.58E-02;
0.6;Audio_cold;1.60E-02;
0.61;Audio_cold;1.62E-02;
0.62;Audio_cold;1.64E-02;
0.63;Audio_cold;1.65E-02;
0.64;Audio_cold;1.67E-02;
0.65;Audio_cold;1.69E-02;
0.66;Audio_cold;1.71E-02;
0.67;Audio_cold;1.73E-02;
0.68;Audio_cold;1.75E-02;
0.69;Audio_cold;1.77E-02;
0.7;Audio_cold;1.78E-02;
0.71;Audio_cold;1.80E-02;
0.72;Audio_cold;1.82E-02;
0.73;Audio_cold;1.84E-02;
0.74;Audio_cold;1.86E-02;
0.75;Audio_cold;1.88E-02;
0.76;Audio_cold;1.89E-02;
0.77;Audio_cold;1.91E-02;
0.78;Audio_cold;1.93E-02;
0.79;Audio_cold;1.95E-02;
0.8;Audio_cold;1.97E-02;
0.81;Audio_cold;1.99E-02;
0.82;Audio_cold;2.00E-02;
0.83;Audio_cold;2.02E-02;
0.84;Audio_cold;2.04E-02;
0.85;Audio_cold;2.06E-02;
0.86;Audio_cold;2.07E-02;
0.87;Audio_cold;2.09E-02;
0.88;Audio_cold;2.11E-02;
0.89;Audio_cold;2.12E-02;
