,Audio_TOTAL_Clicks,DD_TOTAL_Impressions,OLV_TOTAL_Clicks,OTT_TOTAL_Impressions,PDM_TOTAL_Impressions,POLV_TOTAL_Clicks,Partnership_TOTAL_Impressions,YT_DD_TOTAL_Clicks,YT_OLV_TOTAL_Impressions,Primary_Search_Impressions,Secondary_Search_Impressions,DOOH_TOTAL_Impressions,Social_TOTAL_Impressions,Facebook_Impressions,Investment,Audio_TOTAL_Clicks_ROAS,DD_TOTAL_Impressions_ROAS,OLV_TOTAL_Clicks_ROAS,OTT_TOTAL_Impressions_ROAS,PDM_TOTAL_Impressions_ROAS,POLV_TOTAL_Clicks_ROAS,Partnership_TOTAL_Impressions_ROAS,YT_DD_TOTAL_Clicks_ROAS,YT_OLV_TOTAL_Impressions_ROAS,Primary_Search_Impressions_ROAS,Secondary_Search_Impressions_ROAS,DOOH_TOTAL_Impressions_ROAS,Social_TOTAL_Impressions_ROAS,Facebook_Impressions_ROAS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,380.3695796,231.5671262,29.44598825,520.5023846,116.533274,23.64698304,235.8919208,568.4835849,112.0380613,75.89702273,91.35093148,707.9593835,333.4308066,282.5757511,10000,24.03935743,14.63504238,1.860986457,32.89575071,7.36490292,1.494489328,14.9083694,35.92816256,7.080805475,4.796691837,5.773378869,44.74303304,21.07282698,17.85878747
2,614.1511299,431.2180782,45.20686834,520.502883,204.741182,24.85127339,340.2967527,933.7463001,217.1241359,151.4117052,181.4989435,709.8339797,597.0724091,548.3263794,20000,19.4071757,13.62649127,1.428537039,16.4478911,6.469821352,0.785300239,10.75337739,29.50638308,6.861122695,4.784609885,5.735366614,22.43075376,18.86748813,17.32711359
3,757.8372083,618.2337398,60.74919593,520.502883,289.8523419,26.05150476,392.0819139,1188.28944,315.7126066,226.5459735,270.4598762,709.8389434,809.1534064,798.4281543,30000,15.96510386,13.02412412,1.279783061,10.96526074,6.106222668,0.548818367,8.259858987,25.03329755,6.651012245,4.772568509,5.697688059,14.95394041,17.04616509,16.82021978
4,846.1490923,793.4231524,76.07630004,520.502883,371.9777082,27.24769084,417.7675347,1375.402575,408.2269026,301.3017441,358.2493613,709.8389566,982.8358841,1033.966219,40000,13.36915566,12.53608581,1.202005541,8.223945552,5.877247789,0.430513515,6.600727049,21.73136069,6.44998506,4.760567556,5.660339908,11.21545551,15.52880697,16.33666626
5,900.4270636,957.5429736,91.19145593,520.502883,451.2238568,28.43984526,430.5076924,1517.342917,495.0616732,375.6809236,444.8828244,709.8389566,1127.66251,1255.942055,50000,11.38139808,12.10334319,1.152660003,6.579156442,5.70346955,0.359479644,5.441617231,19.17921448,6.25757955,4.748606874,5.6233189,8.972364412,14.25365413,15.87510758
6,933.7872191,1111.300905,106.097886,520.502883,527.6934905,29.62798162,436.826855,1626.898123,576.5848059,449.6854091,530.3754882,709.8389566,1250.582256,1465.28032,60000,9.835892041,11.70570286,1.117564399,5.482630368,5.558371433,0.312081406,4.601242873,17.13666023,6.073359955,4.736686309,5.586621809,7.476970343,13.17279976,15.43428603
7,954.2909325,1255.358891,120.7987607,520.502883,601.4855819,30.81211345,439.9611818,1712.238255,653.1392988,523.3170883,614.7423749,709.8389566,1356.679396,1662.835104,70000,8.615883847,11.33409742,1.09064024,4.699397458,5.430555539,0.278189367,3.972220955,15.45906539,5.896914812,4.724805711,5.550245442,6.408831723,12.24887684,15.01302551
8,966.8928601,1390.336113,135.2971995,520.502883,672.6955118,31.99225425,441.5158188,1779.034169,725.0450005,596.5778392,697.9983088,709.8389566,1449.693095,1849.395671,80000,7.638453595,10.98365529,1.068847876,4.111972776,5.314294543,0.252738809,3.487974968,14.05436994,5.727855504,4.712964929,5.51418664,5.607727757,11.45257545,14.6102258
9,974.638217,1516.811775,149.5962713,520.502883,741.4152018,33.16841748,442.2869242,1831.444233,792.6002247,669.4695303,780.1579192,709.8389566,1532.388801,2025.691705,90000,6.844126146,10.65138935,1.050498261,3.655086912,5.206382306,0.232915998,3.105837067,12.86080839,5.565814911,4.701163813,5.478442277,4.984646895,10.76077469,14.22485731
