,Investment,Audio_Clicks,YouTube_DD_Clicks,YouTube_OLV_Impressions,OTT_Impressions,PDM_Impressions,POLV_Clicks,Partnership_Impressions,Facebook_Impressions,Social_Impressions,DD_Impressions,OLV_Clicks,Audio_Clicks_ROAS,YouTube_DD_Clicks_ROAS,YouTube_OLV_Impressions_ROAS,OTT_Impressions_ROAS,PDM_Impressions_ROAS,POLV_Clicks_ROAS,Partnership_Impressions_ROAS,Facebook_Impressions_ROAS,Social_Impressions_ROAS,DD_Impressions_ROAS,OLV_Clicks_ROAS
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,259.9861942059222,184.3909333175793,63.16648901914679,429.782988500045,69.23945966467232,5.929265442400464,178.4222471909833,191.6953626107572,119.3844464386302,220.5999624642728,55.02834758069562,16.43112747381428,11.65350698567101,3.992122106010077,27.16228487320284,4.37593385080729,0.3747295759597093,11.27628602247015,12.11514691699985,7.545097014921428,13.94191762774204,3.477791567099963
2,20000,452.2299409906025,358.7171399619979,124.4596293050443,532.0814149990008,75.53877060401682,11.29222516539038,319.1452163295897,375.0384015767747,230.8751991382322,432.2108203022935,109.1556043421735,14.29046613530304,11.33546162279913,3.9329242860394,16.81377271396843,2.387025151086931,0.3568343152263359,10.08498883601503,11.85121348982608,7.295656292768137,13.65786192155248,3.449317097212684
3,30000,594.3823283152158,523.5279892606023,183.934979359216,556.4308386480972,76.11187326112479,16.14296717885099,430.134481149173,550.3930344666163,334.9941887414014,635.1988655164683,162.3965256732501,12.52165438317388,11.02898964042336,3.874896898500818,11.72214300085325,1.603423463367696,0.3400785085677943,9.061499736209244,11.59494659276339,7.057210909485523,13.38152276688027,3.421153474183135
4,40000,699.495246472807,679.3428639680646,241.6464499669656,562.226572290679,76.16401335370745,20.53041353245402,517.6725496009425,718.1073226629121,432.2288358622611,829.9154642810361,214.7656253428132,11.05202489427035,10.73361725069542,3.818013909478057,8.883179842192728,1.203391410988578,0.3243805338127735,8.179226283694891,11.34609569807401,6.829215606623725,13.11266433564037,3.393296880416449
5,50000,777.2197628987894,826.6527970424021,297.6463530642242,563.6060927647499,76.16875698771577,24.49881371789522,586.7144829872299,878.5141622293365,523.0343328878521,1016.697665146302,266.2771794563562,9.824057803040699,10.44889135461596,3.762249902731794,7.123981012546439,0.9627730883247273,0.3096650053941956,7.416071064958585,11.10441901057881,6.61115396770245,12.85105848744925,3.365743548328342
6,60000,834.6922463912147,965.9220190798196,351.9854491551362,563.9344509771422,76.16918855702245,28.08819094614941,641.1683754482326,1031.931944675954,607.8357749069248,1195.868782459495,316.9452303477228,8.792091661987461,10.1743786009741,3.707580064434101,5.940109550292565,0.8023154528006364,0.2958622779661071,6.75364022138805,10.86968315058672,6.402536829019609,12.59648450857335,3.33848975966268
7,70000,877.1896012886574,1097.589421284934,404.7129933233675,564.0126079292659,76.16922782060519,31.33474580066631,684.1165702440546,1178.665188934476,687.0301497418266,1367.738956012141,366.783590407125,7.919768971634736,9.909664489315402,3.653980168290975,5.092228117304229,0.687699314037464,0.2829079906574444,6.176595319917751,10.64166284866555,6.202900780526205,12.34872885999533,3.311531844818615
8,80000,908.613772710051,1222.069938586781,455.8767798788406,564.0312111160745,76.16923139275204,34.27122133754202,717.9901347011935,1319.005145797838,760.9881963995745,1532.605687882664,415.8058458464756,7.178048804409404,9.654352514835566,3.601426561042841,4.455846567816988,0.6017369280027411,0.270742648566582,5.672122064139429,10.42014065180292,6.011806751556638,12.10758493427304,3.284866182187157
9,90000,931.8500082805748,1339.755857259318,505.5231856803691,564.0356391106421,76.16923171774103,36.92723331487627,744.7064699159058,1453.230376023854,830.0561406422381,1690.754357403506,464.0253604030661,6.543657835925814,9.408063353198765,3.549896148333259,3.960783599088065,0.5348772716179148,0.2593112383889089,5.229494322076138,10.20490664052306,5.828838676509939,11.87285282087795,3.258489197497086
10,100000,949.0317705695022,1451.01805116726,553.6972121734566,564.0366930771529,76.1692317473081,39.32956888183574,765.7778445628819,1581.60730325042,894.5573158014929,1842.458715144124,511.4552789825948,5.997880789999254,9.170434083377085,3.499366380936245,3.564711900247606,0.4813895446429872,0.2485628753332019,4.839715977637414,9.995758156542653,5.653602235865435,11.64433907971086,3.232397363169999
11,110000,961.7366234901571,1556.207150533125,600.4425261813692,564.0369439458904,76.16923174999809,41.50245673984567,782.3969963269578,1704.390742819744,954.7936764249927,1987.981356764959,558.1085312425395,5.52561405496163,8.941117446699408,3.449815241332958,3.240648623398206,0.4376268587818072,0.2384504787234769,4.495226378896703,9.792499540564346,5.48572366818723,11.42185652250413,3.206587197684409
12,120000,971.1310782044736,1655.654646908727,645.8014994864525,564.0370036585308,76.1692317502428,43.46781150061404,795.5046463965289,1821.824407561287,1011.04721184052,2127.574177562594,603.9978351168555,5.114623678543561,8.719781140385965,3.40122123062865,2.970594885934929,0.4011579538846121,0.2289304739032339,4.189657804355052,9.594941879822782,5.324848649026741,11.20522400182966,3.181055264948773
13,130000,978.0776977309271,1749.673937833324,689.815247237575,564.0370178715391,76.16923175026507,45.24545470545597,805.8427486526083,1934.141391537314,1063.581266255346,2261.478808492893,649.1357002829534,4.754962345891892,8.50610714392816,3.353563355801134,2.742087656113944,0.3702996497397502,0.2199625182603706,3.917635516526526,9.402902765012172,5.170641232872146,10.99426620744237,3.155798173683281
14,140000,983.2142941926426,1838.561314470515,732.5236652185072,564.0370212545682,76.16923175026709,46.85331473500364,813.9964877049856,2041.564632711258,1112.641771570682,2389.927034426899,693.5344315719046,4.438510242355358,8.299791076752612,3.306821117272118,2.546224267377765,0.3438496747583485,0.2115092493751593,3.674612715925364,9.216206056239395,5.022782854519079,10.78881346969857,3.130812576810313
15,150000,987.0124902950827,1922.596895336346,773.9654660110214,564.0370220598086,76.16923175026727,48.30760762548663,820.427403059413,2144.307355457255,1158.458398682501,2513.141195363437,737.2061323228099,4.158612625776614,8.100541585683805,3.260974496793103,2.37647598627866,0.3209263631077928,0.2035360534620503,3.456734124890327,9.034681657659902,4.880971386448937,10.58870156979795,3.106095170853439
16,160000,989.8210219249495,2002.045509061129,814.1782140854928,564.0370222514744,76.1692317502673,49.62300061520128,825.4995143975547,2242.573493789163,1201.245632658407,2631.334571292934,780.1627076822325,3.909793036603551,7.908079760791459,3.216003945637696,2.227946237893323,0.3008684654135558,0.196010852430045,3.260723081870341,8.858165300467196,4.744920249000707,10.39377155660709,3.081642695344818
17,170000,991.8977577498575,2077.157528966929,853.198359850804,564.0370222970956,76.1692317502673,50.81276007061316,829.4999267818965,2336.558096149159,1241.203776823861,2744.711751378642,822.41586784961,3.687525781752412,7.722138578277052,3.171890373092401,2.096890577010379,0.283170320389229,0.1889039080272207,3.08378796309505,8.686498333919227,4.614357570309883,10.20386956983119,3.057451932240903
18,180000,993.4333757363493,2148.169662090775,891.0612726944237,564.0370223079544,76.1692317502673,51.88888528399833,832.6550821359305,2426.447712559354,1278.519890458276,2853.468988094301,863.9771312695166,3.488054963696515,7.54246236911872,3.128615135238199,1.980396656103484,0.2674386359231608,0.1821876416638163,2.9235445106106,8.519527524097288,4.489025393164614,10.01884666930888,3.033519705346302
19,190000,994.5688704738869,2215.305695140119,927.8012730426026,564.0370223105392,76.1692317502673,52.86222949203601,835.143576908883,2512.420764904909,1313.368664490692,2957.79453693124,904.8578277716568,3.308250137576298,7.368806312255554,3.086160024015394,1.876165253159267,0.2533629182429944,0.1758364686261408,2.777951266349548,8.357104860104748,4.368678926095355,9.838558670213388,3.009842879745722
