;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.229811441;6.28099916;5.752792585;5.404138489;3.479291472;7.392872531;1000000;1.61490572;2.14049958;1.876396292;1.702069244;0.739645736;2.696436266
2;10.41622221;12.52026426;11.45784443;10.76342961;6.953222276;14.71140823;2000000;3.208111103;4.26013213;3.728922214;3.381714807;1.476611138;5.355704114
3;15.55959247;18.7180726;17.11555171;16.07824555;10.42180067;21.95635456;3000000;4.779796234;6.359036302;5.557775857;5.039122775;2.210900337;7.978177281
4;20.6602794;24.87469965;22.72630734;21.34895538;13.88503491;29.12845149;4000000;6.330139702;8.437349824;7.363153672;6.674477692;2.942517455;10.56422574
5;25.71863723;30.99041902;28.29050095;26.57592514;17.34293322;36.22843152;5000000;7.859318616;10.49520951;9.145250477;8.28796257;3.671466609;13.11421576
6;30.73501723;37.06550254;33.80851895;31.7595178;20.79550382;43.25701982;6000000;9.367508614;12.53275127;10.90425948;9.879758902;4.397751911;15.62850991
7;35.70976775;43.1002202;39.28074453;36.90009335;24.24275493;50.21493423;7000000;10.85488388;14.5501101;12.64037227;11.45004667;5.121377464;18.10746711
8;40.64323428;49.09484021;44.70755771;41.99800876;27.68469473;57.1028854;8000000;12.32161714;16.54742011;14.35377886;12.99900438;5.842347366;20.5514427
9;45.53575942;55.04962901;50.08933536;47.05361806;31.12133142;63.92157682;9000000;13.76787971;18.52481451;16.04466768;14.52680903;6.560665709;22.96078841
10;50.38768292;60.96485126;55.42645121;52.06727235;34.55267316;70.67170491;10000000;15.19384146;20.48242563;17.7132256;16.03363617;7.276336578;25.33585245
11;55.19934172;66.84076985;60.71927589;57.03931978;37.97872811;77.35395909;11000000;16.59967086;22.42038492;19.35963795;17.51965989;7.989364053;27.67697955
12;59.97106998;72.67764593;65.96817698;61.97010565;41.39950441;83.96902185;12000000;17.98553499;24.33882296;20.98408849;18.98505282;8.699752206;29.98451093
13;64.70319906;78.47573893;71.17351896;66.85997236;44.81501021;90.51756881;13000000;19.35159953;26.23786946;22.58675948;20.42998618;9.407505104;32.25878441
14;69.39605758;84.23530653;76.33566334;71.70925951;48.22525361;97.0002688;14000000;20.69802879;28.11765327;24.16783167;21.85462975;10.11262681;34.5001344
15;74.04997145;89.95660472;81.4549686;76.51830384;51.63024274;103.4177839;15000000;22.02498573;29.97830236;25.7274843;23.25915192;10.81512137;36.70889196
16;78.66526385;95.63988779;86.53179023;81.28743931;55.02998567;109.7707696;16000000;23.33263192;31.81994389;27.26589512;24.64371966;11.51499284;38.88538482
17;83.24225529;101.2854083;91.56648081;86.01699713;58.4244905;116.0598748;17000000;24.62112764;33.64270415;28.78324041;26.00849857;12.21224525;41.02993739
18;87.78126361;106.8934172;96.55938997;90.70730573;61.8137653;122.2857417;18000000;25.8906318;35.4467086;30.27969499;27.35365287;12.90688265;43.14287085
19;92.28260403;112.4641637;101.5108644;95.35869084;65.19781813;128.4490063;19000000;27.14130202;37.23208186;31.75543222;28.67934542;13.59890906;45.22450313
20;96.74658915;117.9978955;106.4212481;99.97147545;68.57665702;134.5502979;20000000;28.37329457;38.99894773;33.21062403;29.98573773;14.28832851;47.27514897
21;101.173529;123.4948583;111.2908819;104.5459799;71.95029002;140.5902399;21000000;29.58676448;40.74742917;34.64544093;31.27298996;14.97514501;49.29511995
