,Investment,YouTube_DD_Clicks,YouTube_OLV_Impressions,OTT_Impressions,PDM_Impressions,POLV_Clicks,OOH_Impressions,Partnership_Impressions,Facebook_Impressions,Social_Impressions,DD_Impressions,OLV_Clicks,YouTube_DD_Clicks_ROAS,YouTube_OLV_Impressions_ROAS,OTT_Impressions_ROAS,PDM_Impressions_ROAS,POLV_Clicks_ROAS,OOH_Impressions_ROAS,Partnership_Impressions_ROAS,Facebook_Impressions_ROAS,Social_Impressions_ROAS,DD_Impressions_ROAS,OLV_Clicks_ROAS
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10000,75.49522720073328,62.5830993772786,395.3084129096167,134.3182499129651,166.261840598564,369.6628146557104,48.25728792233752,179.5165670360454,187.8524500245327,181.2330351478927,88.05576893275463,4.771298359086344,3.955251880644007,24.98349169588777,8.488913394499395,10.50774832582925,23.3626898862409,3.049860596691731,11.34544703667807,11.87227484155047,11.45392782134682,5.565124596550093
2,20000,143.0156309831292,122.9183604751774,470.6303179242832,260.6518441107395,307.100812212481,548.900149678346,51.16856832631954,354.8281706274079,369.7440056671347,355.7840443301196,172.9157697510721,4.519293939066883,3.884220191015606,14.87191804640735,8.236598273899368,9.7043856659144,17.34524472983573,1.616926759111697,11.21257019182609,11.68391057908146,11.24277580083178,5.464138324133878
3,30000,203.4036196809568,181.0865203773585,484.9821232230377,379.4754368337668,426.4042907127484,635.8064356025534,51.34420093966179,526.0333070736926,545.863816772952,523.8993925152395,254.6959850187871,4.285036254612156,3.814889362616352,10.21695672923199,7.994282535964688,8.982917057681899,13.39432224336046,1.081651166462208,11.08176833568579,11.49953107335019,11.03681386898771,5.365595417729115
4,40000,257.412615105829,237.1654162806285,487.7167103964934,491.235466121817,527.4652386816224,677.9444339843432,51.35479655759926,693.2281655150844,716.3950311240814,685.8163612444102,333.5081879971091,4.067119318672098,3.74721357723393,7.705924024264596,7.761520364724708,8.333950771169633,10.71152205695262,0.8114057856100684,10.95300501513833,11.31904149176049,10.83589850766168,5.269429370354324
5,50000,305.7164525030298,291.2300896520806,488.2377575298374,596.351831148585,613.0730963296674,698.3757628432504,51.35543577327419,856.5066819748248,881.5149848957677,841.763483535556,409.4600954109349,3.864255959638296,3.681148333202299,6.171325255177146,7.537887145718115,7.749243937606995,8.827469642338686,0.6491327081741858,10.82624446016179,11.1423494090825,10.63989043188943,5.175575605994217
6,60000,348.9177875573142,343.3528866451531,488.3370376397573,695.2194698457971,685.5907744079009,708.2822419113502,51.35547433607266,1015.960592135819,1041.395387069091,991.9608664396749,482.6555146708826,3.675267362270377,3.616650405995613,5.143816796472111,7.322978415709063,7.221556157096556,7.460572948132889,0.5409443296732986,10.70145157049729,10.96936474379443,10.44865445983124,5.083971421199963
7,70000,387.5556153374461,393.603554908981,488.3559544317227,788.2098427441872,747.0198742398176,713.0855676374647,51.35547666250093,1171.679482881005,1196.202497991908,1136.620501704567,553.1944857522625,3.499073555618085,3.553677810035372,4.409156617154982,7.116408865918948,6.744522293136639,6.438143982098253,0.4636665892957226,10.57859190258279,10.79999969615551,10.26205938681837,4.994555928506141
8,80000,422.1119949884747,442.0493369205815,488.3595588296083,875.6723286063636,799.0559350481726,715.4145422279881,51.35547680285041,1323.750842626454,1346.097302273729,1275.946564984445,621.1734179249003,3.33468476040895,3.492189761672594,3.858040514753905,6.917811395990272,6.312541886880564,5.651774883601107,0.4057082667425183,10.45763165674899,10.63416868796246,10.07997786337711,4.907270001606713
9,90000,453.0180640713762,488.755059964765,488.3602456101226,957.9355370951619,843.1352334891351,716.5437853717151,51.35547681131745,1472.260110475481,1491.235676194342,1410.135704017756,686.6852215206844,3.181193516590109,3.432146643308128,3.429374169173305,6.726836216046026,5.920682972945926,5.031729692832489,0.3606295704972514,10.33853766467226,10.47178830394249,9.902286277102464,4.822056222234139
10,100000,480.659417587084,533.7832228821816,488.3603764690039,1035.308543409382,880.4744271341609,717.091318214213,51.35547681182825,1617.290724221365,1631.76854980025,1539.377316179936,749.8194349189366,3.037767519150371,3.373509968615387,3.086437579284105,6.543149994347292,5.564598379487897,4.532017131113825,0.3245666134507545,10.22127737707902,10.31277723473758,9.728864638257196,4.73885882868768
11,110000,505.3809187954997,577.194079701577,488.3604014028022,1108.082049525612,912.1041361216581,717.3567988728995,51.35547681185907,1758.924167225681,1767.842063857509,1663.853815802852,810.6623469231565,2.903643097079598,3.316242348830879,2.805852488059736,6.366435048183514,5.240452854808072,4.121540880797022,0.2950605576826812,10.10581885169664,10.15705622143587,9.559596468976386,4.657623665958499
12,120000,527.4910018509621,619.0457202681781,488.3604061536782,1176.529476409109,938.8973898845732,717.4855217086202,51.35547681186093,1897.24001419855,1899.597721824163,1783.740891638229,869.2971146964053,2.778119276415067,3.260307460079071,2.572031472409372,6.196388575754643,4.944859586725419,3.778757080998734,0.2704721778758009,9.992130741445695,10.00454800160726,9.39436869596134,4.578298137401068
13,130000,547.2655199353668,659.3941479760915,488.360407058908,1240.907991297331,961.5937241280437,717.5479351760193,51.35547681186104,2032.315975906544,2027.172537000326,1899.207754828457,925.8038774165126,2.660552373839629,3.205670011699153,2.374182902009461,6.032721926922408,4.67482487422249,3.488386884855725,0.2496666257315091,9.880182282868736,9.855177256801587,9.233071546550654,4.500831157901815
14,140000,564.9511868996002,698.2933547087401,488.3604072313901,1301.459473915769,980.8195931714043,717.5781974126377,51.35547681186105,2164.227942833354,2150.699175008931,2010.417377734752,980.259865806447,2.550351072289624,3.152295715542313,2.204598409787419,5.875159910819757,4.427699877745197,3.239353005462764,0.2318332953221156,9.769943284790568,9.70887056146889,9.07559844805974,4.425173108497675
15,150000,580.7686553524193,735.7953930876124,488.3604072642549,1358.411425256322,997.1056610670954,717.5928705753907,51.35547681186105,2293.05002781778,2270.306091755298,2117.526723959781,1032.739507689548,2.446971934551526,3.10015125620914,2.057625182606728,5.723440138413305,4.201138518629362,3.023457961357646,0.2163777423006412,9.66138411720558,9.565556333262323,8.921845930283878,4.351275792398627
16,160000,594.9152696000984,771.9504461260085,488.3604072705169,1411.977822332601,1010.901448758402,717.5999851091879,51.35547681186105,2418.854607692951,2386.117667009019,2220.686969889398,1083.314529713896,2.349915314920389,3.049204262197734,1.929023608718542,5.577312398213775,3.993060722595687,2.834519941181292,0.2028541334068512,9.554475700387155,9.425164784685627,8.771713531063122,4.279092392369889
17,170000,607.5675277834848,806.806894380982,488.3604072717101,1462.359922123631,1022.587741560481,717.603434712521,51.35547681186105,2541.712363950206,2498.254333747029,2320.043718066171,1132.054055384839,2.258721632700956,2.999423277934004,1.815551631739534,5.436538063424324,3.801620309801318,2.667796298460666,0.1909215373240952,9.449189494214883,9.287627876047777,8.625103704810707,4.208577429430696
18,180000,618.8832839309551,840.4113806933484,488.3604072719374,1509.74701772647,1032.487099430565,717.6051073116678,51.35547681186105,2661.692322450477,2606.832703392401,2415.737202695878,1179.024699539672,2.172967974690909,2.950777736656645,1.714687652199247,5.300889528906273,3.625176926889538,2.519591265672078,0.1803147852505343,9.345497487715008,9.152879269688873,8.48192173390997,4.139686722828183
19,190000,629.0037174008594,872.8088726023783,488.3604072719807,1554.317149558738,1040.872760127219,717.6059182999569,51.35547681186105,2778.861892205476,2711.965687079091,2507.90248757702,1224.290659393591,2.092264996828122,2.903237934130016,1.624440933662588,5.17014967642696,3.462271496844223,2.386983896660909,0.1708245333952431,9.243372188809792,9.02085428544203,8.342075642887771,4.07237735124605
20,200000,638.0550942849095,904.0427225187038,488.3604072719891,1596.237774283133,1047.97618099979,717.6063115214926,51.35547681186105,2893.286903250468,2813.762613068736,2596.669656732702,1267.913802281356,2.016254097940314,2.856775003159104,1.543218886979485,5.0441113667347,3.311604731959336,2.267635944407917,0.1622833067254809,9.142786614271479,8.891489857297206,8.205476115275337,4.006607615209085
21,210000,646.150342748401,934.1547257359533,488.3604072719905,1635.666393967209,1053.993427573219,717.6065021816763,51.35547681186105,3005.03164362994,2912.329340441591,2682.163998013968,1309.953750214582,1.944604841033283,2.811360888881536,1.4697322733138,4.922576957082268,3.172018315363212,2.159653854184854,0.1545555302147437,9.043714279876772,8.764724491233741,8.072036413070608,3.94233700064579
22,220000,653.3904619617715,963.1851763587478,488.3604072719908,1672.751147842234,1059.090585263151,717.6065946265255,51.35547681186105,3114.158895516905,3007.768369179877,2764.50617993371,1350.467961370243,1.877012599817453,2.766968324812403,1.402926260890446,4.805357842892237,3.042478408574143,2.061488035472564,0.1475302788413463,8.946129190757652,8.640498224189464,7.941672298718658,3.879526143572698
23,230000,659.865782201813,991.1729212218903,488.3604072719909,1707.63136888448,1063.408343593141,717.6066394499912,51.35547681186105,3220.729970486162,3100.178946757964,2843.812421980745,1389.511808621731,1.813196410224112,2.723570809618411,1.341929466938688,4.692274022326049,2.922061187612457,1.971858244053889,0.1411159188917225,8.850005831944584,8.518752584134926,7.8143019595297,3.81813679586493
