Date;Audio;DD;DOOH;OLV;OTT;PDM;POLV;Partnership;YouTube DD;YouTube OLV;Primary Search;  Secondary Search ;Facebook;Other Social
01.01.2019;0;50799;0;734196;0;0;0;4300;0;0;0;152062;128067;139574
06.01.2019;0;70337;0;1034750;0;151073;0;51513;0;0;0;252939;226848;291040
13.01.2019;0;23614;0;744407;0;521695;0;30562;0;0;0;187081;521065;135600
20.01.2019;0;70798;0;373846;0;184474;0;23416;0;0;0;223949;284137;50421
27.01.2019;0;69804;0;331564;0;121472;0;9200;0;0;10859;142559;171391;76287
03.02.2019;0;7373;0;126540;0;0;0;8732;342404;293965;58919;43921;153962;32230
10.02.2019;0;0;0;331717;0;0;0;37134;353777;1642732;89729;79106;367466;33227
17.02.2019;117348;773743;0;589443;10136;212439;0;19547;355797;591929;1166060;111766;768359;222260
24.02.2019;274927;1399644;0;1535325;128873;501991;0;60955;1102844;654370;864996;320602;1736498;686417
03.03.2019;249035;1618733;0;1533623;130603;542795;121659;99705;346450;667703;598878;556646;1999524;370821
10.03.2019;282280;2056615;0;1060663;138088;807315;35583;153128;343465;481623;886133;660901;2236483;706002
17.03.2019;347131;2699982;0;768225;127522;753098;6927;158398;341950;692591;966268;457681;3234826;1240357
24.03.2019;42001;1389792;0;84595;109882;339242;485;120195;338293;637880;391387;0;2437131;1338129
31.03.2019;367;850195;0;393959;14718;147417;0;129904;340569;616073;397591;0;362821;351783
07.04.2019;0;717499;0;405243;0;428431;0;373877;0;189082;437849;16510;568011;132084
14.04.2019;0;479058;0;471155;0;490108;0;346995;339380;633775;838530;78513;376901;227424
21.04.2019;0;710322;0;682860;0;501151;0;27337;336873;629749;926844;171503;501637;223591
28.04.2019;0;786888;0;968001;0;473055;0;61846;337450;678112;815361;351330;1185842;186776
05.05.2019;0;673918;0;1027927;0;471972;0;25482;337125;703487;702729;461859;1294760;185587
12.05.2019;0;738730;0;633560;0;396217;0;16125;339557;754521;458026;398759;1063910;197134
19.05.2019;0;1194992;0;365276;0;497097;0;14902;336481;748198;309780;468603;1138155;442977
26.05.2019;0;801707;0;183340;0;468139;0;0;329956;711260;383015;438368;1407012;490712
