budget_total;Value;data
1;IMP_display_hienz_budget;6.88587500020243E-07
2;IMP_display_hienz_budget;1.73479919961338E-06
3;IMP_display_hienz_budget;1.82319759988423E-06
4;IMP_display_hienz_budget;1.68348747512214E-06
5;IMP_display_hienz_budget;1.74380630016264E-06
6;IMP_display_hienz_budget;1.81607658321211E-06
7;IMP_display_hienz_budget;1.87483732858515E-06
8;IMP_display_hienz_budget;2.07999011240054E-06
9;IMP_display_hienz_budget;0.0000019659016554859
10;IMP_display_hienz_budget;1.63008986997964E-06
11;IMP_display_hienz_budget;0.0000012111282913324
12;IMP_display_hienz_budget;1.29637858379413E-06
13;IMP_display_hienz_budget;1.37857029212791E-06
14;IMP_display_hienz_budget;1.45494699987419E-06
15;IMP_display_hienz_budget;1.73122083337387E-06
16;IMP_display_hienz_budget;2.48234515603843E-06
17;IMP_display_hienz_budget;2.55026030000794E-06
18;IMP_display_hienz_budget;0.0000056238057007893
19;IMP_display_hienz_budget;3.27281376287328E-06
20;IMP_display_hienz_budget;5.97901157896928E-06
21;IMP_display_hienz_budget;0.0000061553265812733
22;IMP_display_hienz_budget;5.02109299655171E-06
23;IMP_display_hienz_budget;3.03989185693537E-06
24;IMP_display_hienz_budget;3.19756392564681E-06
25;IMP_display_hienz_budget;3.19048070383181E-06
26;IMP_display_hienz_budget;3.32096296131444E-06
27;IMP_display_hienz_budget;0.0000034575178919877
28;IMP_display_hienz_budget;3.49322766767733E-06
29;IMP_display_hienz_budget;3.77928085576693E-06
30;IMP_display_hienz_budget;3.97737620034707E-06
31;IMP_display_hienz_budget;4.15065380627015E-06
32;IMP_display_hienz_budget;4.33112374040104E-06
33;IMP_display_hienz_budget;4.56017900288826E-06
34;IMP_display_hienz_budget;4.26384860957028E-06
35;IMP_display_hienz_budget;6.29959155613168E-06
36;IMP_display_hienz_budget;9.03324112405392E-06
37;IMP_display_hienz_budget;6.76234407274922E-06
38;IMP_display_hienz_budget;7.17060788091739E-06
39;IMP_display_hienz_budget;3.66071335177032E-06
40;IMP_display_hienz_budget;5.59179230467086E-06
41;IMP_display_hienz_budget;5.91231188838267E-06
42;IMP_display_hienz_budget;6.03565519332491E-06
43;IMP_display_hienz_budget;7.01925539928015E-06
44;IMP_display_hienz_budget;6.38259308352853E-06
45;IMP_display_hienz_budget;6.34637161329201E-06
46;IMP_display_hienz_budget;6.34193750981396E-06
47;IMP_display_hienz_budget;8.33437595238414E-06
48;IMP_display_hienz_budget;0.0000096483020361068
49;IMP_display_hienz_budget;8.17959564786559E-06
50;IMP_display_hienz_budget;9.52520644868034E-06
51;IMP_display_hienz_budget;8.15647589520811E-06
52;IMP_display_hienz_budget;8.17092300607077E-06
53;IMP_display_hienz_budget;0.0000134108441940786
54;IMP_display_hienz_budget;0.0000101178386972956
55;IMP_display_hienz_budget;0.0000186365669434194
56;IMP_display_hienz_budget;0.0000131636047237424
57;IMP_display_hienz_budget;0.0000140244157776396
58;IMP_display_hienz_budget;0.0000161782257758268
59;IMP_display_hienz_budget;0.0000119588734289782
60;IMP_display_hienz_budget;0.0000156722908582591
61;IMP_display_hienz_budget;0.0000153656164439236
62;IMP_display_hienz_budget;0.0000197261253238984
63;IMP_display_hienz_budget;0.0000187020487474142
64;IMP_display_hienz_budget;0.0000185934555158016
65;IMP_display_hienz_budget;0.0000199955296004881
66;IMP_display_hienz_budget;0.0000340385652239089
67;IMP_display_hienz_budget;0.0000144444653282568
68;IMP_display_hienz_budget;0.0000279014811027835
69;IMP_display_hienz_budget;0.0000193540296376755
70;IMP_display_hienz_budget;0.00383018214128547
71;IMP_display_hienz_budget;0.0000566875901591645
72;IMP_display_hienz_budget;0.0000287980072652446
73;IMP_display_hienz_budget;0.0000552048797831177
74;IMP_display_hienz_budget;0.000115287608233396
75;IMP_display_hienz_budget;0.000161132063738557
76;IMP_display_hienz_budget;0.000153414149474419
77;IMP_display_hienz_budget;0.00418052892968119
78;IMP_display_hienz_budget;0.225309951395339
79;IMP_display_hienz_budget;0.534137161266419
80;IMP_display_hienz_budget;0.72455977011883
81;IMP_display_hienz_budget;0.958899436840362
82;IMP_display_hienz_budget;1.18567847075899
83;IMP_display_hienz_budget;1.41046916498016
84;IMP_display_hienz_budget;1.59563467259886
85;IMP_display_hienz_budget;1.84111798357211
86;IMP_display_hienz_budget;2.04884958030951
87;IMP_display_hienz_budget;2.25180593217239
88;IMP_display_hienz_budget;2.45014939653646
89;IMP_display_hienz_budget;2.64403597078084
90;IMP_display_hienz_budget;2.83361385336585
91;IMP_display_hienz_budget;3.01902575268502
92;IMP_display_hienz_budget;3.20040568894137
93;IMP_display_hienz_budget;3.37786154317285
94;IMP_display_hienz_budget;3.55159002032639
95;IMP_display_hienz_budget;3.72163666323069
96;IMP_display_hienz_budget;3.88821214164231
97;IMP_display_hienz_budget;4.05120734623173
98;IMP_display_hienz_budget;4.21095605575884
99;IMP_display_hienz_budget;4.36747133808243
100;IMP_display_hienz_budget;4.52085720344217
101;IMP_display_hienz_budget;4.67120542460318
102;IMP_display_hienz_budget;4.81858994587241
103;IMP_display_hienz_budget;4.96314387004459
104;IMP_display_hienz_budget;5.10490296613424
105;IMP_display_hienz_budget;5.24396135740821
106;IMP_display_hienz_budget;5.38039561647102
107;IMP_display_hienz_budget;5.51428067681936
108;IMP_display_hienz_budget;5.64568606388103
109;IMP_display_hienz_budget;5.77468136045193
110;IMP_display_hienz_budget;5.90132875495878
111;IMP_display_hienz_budget;6.02560929038966
112;IMP_display_hienz_budget;6.14784165926316
113;IMP_display_hienz_budget;6.26782585521743
114;IMP_display_hienz_budget;6.38570517168579
115;IMP_display_hienz_budget;6.50232201447163
116;IMP_display_hienz_budget;6.61536620953457
117;IMP_display_hienz_budget;6.72725234690266
118;IMP_display_hienz_budget;6.83723127194924
119;IMP_display_hienz_budget;6.94538312390627
120;IMP_display_hienz_budget;7.05179153143662
121;IMP_display_hienz_budget;7.15628323862625
122;IMP_display_hienz_budget;7.25916868188564
123;IMP_display_hienz_budget;7.36036604309808
124;IMP_display_hienz_budget;7.45993064916987
125;IMP_display_hienz_budget;7.55789935098217
126;IMP_display_hienz_budget;7.65430895147659
127;IMP_display_hienz_budget;7.74973741385504
128;IMP_display_hienz_budget;7.84261924174034
129;IMP_display_hienz_budget;7.9345819841953
130;IMP_display_hienz_budget;8.02513167709582
131;IMP_display_hienz_budget;8.11429906990747
132;IMP_display_hienz_budget;8.20207700778837
133;IMP_display_hienz_budget;8.28862090217469
134;IMP_display_hienz_budget;8.37381568634669
135;IMP_display_hienz_budget;8.45775832897031
136;IMP_display_hienz_budget;8.54046603579222
137;IMP_display_hienz_budget;8.62196677298946
138;IMP_display_hienz_budget;8.70190891356036
139;IMP_display_hienz_budget;8.78147766102744
140;IMP_display_hienz_budget;8.85948256907119
141;IMP_display_hienz_budget;8.936408815403
142;IMP_display_hienz_budget;9.01225111986312
143;IMP_display_hienz_budget;9.08703308378583
144;IMP_display_hienz_budget;9.16077615625085
145;IMP_display_hienz_budget;9.23350219344186
146;IMP_display_hienz_budget;9.30529688975402
147;IMP_display_hienz_budget;9.37598555982825
148;IMP_display_hienz_budget;9.44578335619378
149;IMP_display_hienz_budget;9.51464259082732
150;IMP_display_hienz_budget;9.58258628687145
151;IMP_display_hienz_budget;9.64962978174164
152;IMP_display_hienz_budget;9.71579016127389
153;IMP_display_hienz_budget;9.78108608160168
154;IMP_display_hienz_budget;9.84561514243756
155;IMP_display_hienz_budget;9.90915002582517
156;IMP_display_hienz_budget;9.97195055512212
157;IMP_display_hienz_budget;10.0339518090769
158;IMP_display_hienz_budget;10.095167006616
159;IMP_display_hienz_budget;10.1555563211909
160;IMP_display_hienz_budget;10.2153028834453
161;IMP_display_hienz_budget;10.274252894107
162;IMP_display_hienz_budget;10.3324725924689
163;IMP_display_hienz_budget;10.3899835389829
164;IMP_display_hienz_budget;10.4467848360483
165;IMP_display_hienz_budget;10.5029010966381
166;IMP_display_hienz_budget;10.5583418046394
167;IMP_display_hienz_budget;10.613118658321
168;IMP_display_hienz_budget;10.6672434046005
169;IMP_display_hienz_budget;10.7207276168529
170;IMP_display_hienz_budget;10.7735821706419
171;IMP_display_hienz_budget;10.8258190290558
172;IMP_display_hienz_budget;10.877334401198
173;IMP_display_hienz_budget;10.9284803918069
174;IMP_display_hienz_budget;10.9789260856318
175;IMP_display_hienz_budget;11.0287954057055
176;IMP_display_hienz_budget;11.0780979524837
177;IMP_display_hienz_budget;11.1268433773734
178;IMP_display_hienz_budget;11.17504116266
179;IMP_display_hienz_budget;11.2226992350121
180;IMP_display_hienz_budget;11.2698302059309
181;IMP_display_hienz_budget;11.3164389667981
182;IMP_display_hienz_budget;11.362535784852
183;IMP_display_hienz_budget;11.40868716882
184;IMP_display_hienz_budget;11.453224359863
185;IMP_display_hienz_budget;11.4978360859548
186;IMP_display_hienz_budget;11.5419664426312
187;IMP_display_hienz_budget;11.5856257324229
188;IMP_display_hienz_budget;11.6288181631258
189;IMP_display_hienz_budget;11.6715546080225
190;IMP_display_hienz_budget;11.7138413207435
191;IMP_display_hienz_budget;11.7556853032805
192;IMP_display_hienz_budget;11.7970936291101
193;IMP_display_hienz_budget;11.838063797642
194;IMP_display_hienz_budget;11.878629227167
195;IMP_display_hienz_budget;11.918769887017
196;IMP_display_hienz_budget;11.9587656424015
197;IMP_display_hienz_budget;11.9978563849594
198;IMP_display_hienz_budget;12.0367586768458
199;IMP_display_hienz_budget;12.0752978838239
200;IMP_display_hienz_budget;12.1134434801314
201;IMP_display_hienz_budget;12.1509525579885
202;IMP_display_hienz_budget;12.1886258473527
203;IMP_display_hienz_budget;12.2256569998154
204;IMP_display_hienz_budget;12.2623260190712
205;IMP_display_hienz_budget;12.2986369509359
206;IMP_display_hienz_budget;12.3345960104806
207;IMP_display_hienz_budget;12.3702059805521
208;IMP_display_hienz_budget;12.4054522836833
209;IMP_display_hienz_budget;12.4404047319148
210;IMP_display_hienz_budget;12.4750065395876
211;IMP_display_hienz_budget;12.5092753877802
212;IMP_display_hienz_budget;12.5435385374553
213;IMP_display_hienz_budget;12.5768460087022
214;IMP_display_hienz_budget;12.6101636069537
215;IMP_display_hienz_budget;12.6431633090559
216;IMP_display_hienz_budget;12.675867295144
217;IMP_display_hienz_budget;12.7078541758952
218;IMP_display_hienz_budget;12.7403381061184
219;IMP_display_hienz_budget;12.7721684921622
220;IMP_display_hienz_budget;12.8036882678388
221;IMP_display_hienz_budget;12.8349186548136
222;IMP_display_hienz_budget;12.865860662122
223;IMP_display_hienz_budget;12.8965442681636
224;IMP_display_hienz_budget;12.9269437910817
225;IMP_display_hienz_budget;12.9570732757792
226;IMP_display_hienz_budget;12.9869360838169
227;IMP_display_hienz_budget;13.0165356609383
228;IMP_display_hienz_budget;13.0454679386496
229;IMP_display_hienz_budget;13.074969004354
230;IMP_display_hienz_budget;13.1034445127959
231;IMP_display_hienz_budget;13.1324815501683
232;IMP_display_hienz_budget;13.1612160429342
233;IMP_display_hienz_budget;13.1887977042057
234;IMP_display_hienz_budget;13.2165971154816
235;IMP_display_hienz_budget;13.2442636766402
236;IMP_display_hienz_budget;13.2716436889003
237;IMP_display_hienz_budget;13.2987988568348
238;IMP_display_hienz_budget;13.3257150613696
239;IMP_display_hienz_budget;13.3524111424403
240;IMP_display_hienz_budget;13.3792436754994
241;IMP_display_hienz_budget;13.4051386469856
242;IMP_display_hienz_budget;13.4306103345559
243;IMP_display_hienz_budget;13.4569969721841
244;IMP_display_hienz_budget;13.4826215083187
245;IMP_display_hienz_budget;13.5080099561193
246;IMP_display_hienz_budget;13.5333331178435
247;IMP_display_hienz_budget;13.5581887166506
248;IMP_display_hienz_budget;13.5828084953024
249;IMP_display_hienz_budget;13.6075761399795
250;IMP_display_hienz_budget;13.6319704958779
251;IMP_display_hienz_budget;13.6561699105141
252;IMP_display_hienz_budget;13.6801781061807
253;IMP_display_hienz_budget;13.7039950473477
254;IMP_display_hienz_budget;13.7276252874788
255;IMP_display_hienz_budget;13.7514232790424
256;IMP_display_hienz_budget;13.7743325967679
257;IMP_display_hienz_budget;13.7974122558452
258;IMP_display_hienz_budget;13.820313698411
259;IMP_display_hienz_budget;13.8430407605341
260;IMP_display_hienz_budget;13.8655885029158
261;IMP_display_hienz_budget;13.8878220037487
262;IMP_display_hienz_budget;13.9101714655863
263;IMP_display_hienz_budget;13.9322099480277
264;IMP_display_hienz_budget;13.9540718032696
265;IMP_display_hienz_budget;13.9757817505286
266;IMP_display_hienz_budget;13.9972952109872
267;IMP_display_hienz_budget;14.0187094453201
268;IMP_display_hienz_budget;14.0397838993846
269;IMP_display_hienz_budget;14.0609945311922
270;IMP_display_hienz_budget;14.0818960521564
271;IMP_display_hienz_budget;14.1026550886999
272;IMP_display_hienz_budget;14.1225636320183
273;IMP_display_hienz_budget;14.1432894938529
274;IMP_display_hienz_budget;14.1640040763014
275;IMP_display_hienz_budget;14.1841587337087
276;IMP_display_hienz_budget;14.2044730473629
277;IMP_display_hienz_budget;14.2240285271635
278;IMP_display_hienz_budget;14.2437490752702
279;IMP_display_hienz_budget;14.2633273077104
280;IMP_display_hienz_budget;14.2831031821326
281;IMP_display_hienz_budget;14.30206427059
282;IMP_display_hienz_budget;14.3212269110639
283;IMP_display_hienz_budget;14.3402549966979
284;IMP_display_hienz_budget;14.3591495492329
285;IMP_display_hienz_budget;14.3779098109583
286;IMP_display_hienz_budget;14.3965390921393
287;IMP_display_hienz_budget;14.4149636234785
288;IMP_display_hienz_budget;14.4331214790075
289;IMP_display_hienz_budget;14.4516554966324
290;IMP_display_hienz_budget;14.4697839933505
291;IMP_display_hienz_budget;14.4879710577069
292;IMP_display_hienz_budget;14.5056389831466
293;IMP_display_hienz_budget;14.5233875969663
294;IMP_display_hienz_budget;14.5411177919983
295;IMP_display_hienz_budget;14.558480013555
296;IMP_display_hienz_budget;14.5762440168834
297;IMP_display_hienz_budget;14.5931868015574
298;IMP_display_hienz_budget;14.6103435609573
299;IMP_display_hienz_budget;14.6273900714346
300;IMP_display_hienz_budget;14.6443164886763
301;IMP_display_hienz_budget;14.6611315775844
302;IMP_display_hienz_budget;14.6778381592452
303;IMP_display_hienz_budget;14.6944334636076
304;IMP_display_hienz_budget;14.7109447170368
305;IMP_display_hienz_budget;14.727363458547
306;IMP_display_hienz_budget;14.7435642369132
307;IMP_display_hienz_budget;14.7597310059108
308;IMP_display_hienz_budget;14.7756918473847
309;IMP_display_hienz_budget;14.7917443499252
310;IMP_display_hienz_budget;14.8075966629581
311;IMP_display_hienz_budget;14.8233466505749
312;IMP_display_hienz_budget;14.8389805452573
313;IMP_display_hienz_budget;14.8545475110515
314;IMP_display_hienz_budget;14.8699978470529
315;IMP_display_hienz_budget;14.8852771013471
316;IMP_display_hienz_budget;14.9006045193328
317;IMP_display_hienz_budget;14.9150816377088
318;IMP_display_hienz_budget;14.930829402617
319;IMP_display_hienz_budget;14.945416780434
320;IMP_display_hienz_budget;14.9606747943237
321;IMP_display_hienz_budget;14.9755996812154
322;IMP_display_hienz_budget;14.9901736492222
323;IMP_display_hienz_budget;15.0047493092813
324;IMP_display_hienz_budget;15.0192557130144
325;IMP_display_hienz_budget;15.033715233796
326;IMP_display_hienz_budget;15.0480052515928
327;IMP_display_hienz_budget;15.0617497244438
328;IMP_display_hienz_budget;15.0546624753068
329;IMP_display_hienz_budget;15.0379634647165
330;IMP_display_hienz_budget;15.0214533704708
331;IMP_display_hienz_budget;15.0047738066919
332;IMP_display_hienz_budget;14.9883651148641
333;IMP_display_hienz_budget;14.9719664236033
334;IMP_display_hienz_budget;14.9558979323793
335;IMP_display_hienz_budget;14.939076423613
336;IMP_display_hienz_budget;14.923501973081
337;IMP_display_hienz_budget;14.9075262966474
338;IMP_display_hienz_budget;14.8916489051052
339;IMP_display_hienz_budget;14.8758762414102
340;IMP_display_hienz_budget;14.8601907767173
341;IMP_display_hienz_budget;14.8417081993264
342;IMP_display_hienz_budget;14.8290210059347
343;IMP_display_hienz_budget;14.8137004808768
344;IMP_display_hienz_budget;14.7983586453488
345;IMP_display_hienz_budget;14.7897376110798
346;IMP_display_hienz_budget;14.7676467835358
347;IMP_display_hienz_budget;14.7529127429064
348;IMP_display_hienz_budget;14.7379741254644
349;IMP_display_hienz_budget;14.7231234977236
350;IMP_display_hienz_budget;14.7082945044536
351;IMP_display_hienz_budget;14.6935115456834
352;IMP_display_hienz_budget;14.6789071988636
353;IMP_display_hienz_budget;14.6643640747252
354;IMP_display_hienz_budget;14.6498946045198
355;IMP_display_hienz_budget;14.6355115239437
356;IMP_display_hienz_budget;14.6212199044944
357;IMP_display_hienz_budget;14.6069824621849
