;Audio_TOTAL_Clicks;DD_TOTAL_Impressions;OLV_TOTAL_Clicks;OTT_TOTAL_Impressions;PDM_TOTAL_Impressions;POLV_TOTAL_Clicks;Partnership_TOTAL_Impressions;YT_DD_TOTAL_Clicks;YT_OLV_TOTAL_Impressions;Primary_Search_Impressions;Secondary_Search_Impressions;DOOH_TOTAL_Impressions;Social_TOTAL_Impressions;Facebook_Impressions;Investment;Audio_TOTAL_Clicks_ROAS;DD_TOTAL_Impressions_ROAS;OLV_TOTAL_Clicks_ROAS;OTT_TOTAL_Impressions_ROAS;PDM_TOTAL_Impressions_ROAS;POLV_TOTAL_Clicks_ROAS;Partnership_TOTAL_Impressions_ROAS;YT_DD_TOTAL_Clicks_ROAS;YT_OLV_TOTAL_Impressions_ROAS;Primary_Search_Impressions_ROAS;Secondary_Search_Impressions_ROAS;DOOH_TOTAL_Impressions_ROAS;Social_TOTAL_Impressions_ROAS;Facebook_Impressions_ROAS
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;447.3598643;227.0390738;37.36927753;1062.075828;97.16221162;6.241139507;439.7562868;535.4619041;76.7097309;77.80604808;92.67994399;724.217288;245.9273045;210.2042439;10000;28.27314343;14.34886946;2.36173834;67.12319232;6.140651774;0.394440017;27.79259732;33.84119234;4.848054993;4.917342238;5.85737246;45.7705326;15.54260564;13.28490821
2;696.6382848;449.185657;74.50084277;1067.133336;193.1752694;12.44905897;666.92772;1001.837019;151.9224457;155.2201489;184.1491843;726.4227434;485.0541316;417.9167288;20000;22.0137698;14.19426676;2.354226632;33.72141342;6.104338512;0.393390263;21.07491595;31.65804981;4.800749285;4.904956707;5.819114224;22.95495869;15.32771056;13.20616863
3;835.5415166;666.5451784;111.3962079;1067.157419;288.0527645;18.62393521;784.2810397;1408.039116;225.6673593;232.244277;274.4235367;726.4294596;717.5685307;623.1669919;30000;17.60207462;14.04188509;2.346746779;22.48144964;6.068311573;0.392344235;16.52218724;29.66269071;4.754059035;4.89261277;5.781189172;15.30344728;15.11677705;13.1280513
4;912.9413483;879.220795;148.0568753;1067.157534;381.8081276;24.76594411;844.9039861;1761.831884;297.9731161;308.8803969;363.5186103;726.4294801;943.6533514;825.9842206;40000;14.4244733;13.89168856;2.33929863;16.86108904;6.032568415;0.391301917;13.34948298;27.83694378;4.707975235;4.88031027;5.743594042;11.47758579;14.90972295;13.05055068
5;956.0701789;1087.313441;184.4843381;1067.157535;474.4546301;30.87526062;876.2208815;2069.977323;368.8678019;385.130463;451.4498103;726.4294801;1163.486387;1026.397256;50000;12.08472706;13.74364189;2.331882033;13.48887124;5.997106525;0.390263294;11.07543194;26.16451336;4.662489017;4.868049052;5.706325603;9.182068629;14.70646793;12.97366131
6;980.1024796;1290.921875;220.6800796;1067.157535;566.0053869;36.95205874;892.3987151;2338.364977;438.3789542;460.9964201;538.2323409;726.4294801;1377.240513;1224.434597;60000;10.32374612;13.59771041;2.324496838;11.24072603;5.961923408;0.389228352;9.399933132;24.63077776;4.617591651;4.855828958;5.669380657;7.651723857;14.50693341;12.89737775
7;993.493788;1490.142727;256.6455739;1067.157535;656.4733574;42.99651157;900.7559387;2572.124508;506.5335731;536.4802032;623.8812073;726.4294801;1585.083828;1420.124405;70000;8.969829629;13.45386005;2.317142895;9.634908027;5.927016598;0.388197076;8.132539333;23.22260984;4.573274546;4.843649835;5.632756043;6.558620449;14.31104256;12.82169463
8;1000.95571;1685.070548;292.3822856;1067.157535;745.871348;49.00879127;905.0731538;2775.723731;573.3581318;611.5837375;708.4112189;726.4294801;1787.179779;1613.494509;80000;7.907550106;13.31205733;2.309820056;8.430544524;5.892383649;0.387169451;7.150077915;21.92821747;4.529529242;4.831511527;5.596448629;5.738792893;14.11872025;12.74660662
9;1005.113651;1875.797846;327.89167;1067.157535;834.2120135;54.98906909;907.3033617;2953.054014;638.8785869;686.3089385;791.8369916;726.4294801;1983.687293;1804.572405;90000;7.058131415;13.17226932;2.302528172;7.493817355;5.858022139;0.386145463;6.371285829;20.73700152;4.48634741;4.819413879;5.560455319;5.101149238;13.92989299;12.67210844
10;1007.430544;2062.415141;363.1751733;1067.157535;921.507859;60.93751537;908.4554533;3107.50465;703.1203884;760.657712;874.1729505;726.4294801;2174.760906;1993.385266;100000;6.366961038;13.03446369;2.295267095;6.744435619;5.823929669;0.385125097;5.741438465;19.63942939;4.443720855;4.80735674;5.524773047;4.591034314;13.74448893;12.59819488
11;1008.721566;2245.010998;398.2342322;1067.157535;1007.771242;66.85429953;909.0506064;3242.027634;766.1084896;834.6319544;955.433332;726.4294801;2360.550877;2179.959941;110000;5.795563907;12.89860864;2.28803668;6.131305108;5.790103863;0.384108339;5.222908938;18.6269224;4.401641504;4.795339956;5.48939878;4.173667559;13.56243777;12.52486075
12;1009.440951;2423.672077;433.0702746;1067.157535;1093.014373;72.73959012;909.3580534;3359.194087;827.8673569;908.2335521;1035.632187;726.4294801;2541.203311;2364.322961;120000;5.316389009;12.76467294;2.280836779;5.620363016;5.756542366;0.383095175;4.789285748;17.69175552;4.360101413;4.783363375;5.454329516;3.825861929;13.38367077;12.45210093
13;1009.841808;2598.483168;467.684719;1067.157535;1177.24932;78.59355476;909.5168759;3461.243397;888.4209793;981.4643826;1114.783382;726.4294801;2716.860274;2546.500544;130000;4.909384788;12.63262586;2.273667249;5.188027399;5.723242846;0.382085589;4.421651274;16.8269679;4.319092761;4.771426845;5.419562286;3.531564857;13.20812072;12.37991034
14;1010.065173;2769.527235;502.0789751;1067.157535;1260.488005;84.4163602;909.5989212;3550.12602;947.7928775;1054.326313;1192.900603;726.4294801;2887.659903;2726.518596;140000;4.559722783;12.50243723;2.266527945;4.817454014;5.690202995;0.381079569;4.106189416;16.02628318;4.278607847;4.759530215;5.385094149;3.279310225;13.03572185;12.30828395
15;1010.189638;2936.885454;536.2544435;1067.157535;1342.742213;90.20817227;909.6413045;3627.54076;1006.006113;1126.821203;1269.997357;726.4294801;3053.736513;2904.402716;150000;4.256265673;12.37407738;2.259418722;4.496290413;5.657420523;0.380077099;3.83262203;15.2840384;4.23863909;4.747673336;5.350922197;3.060689543;12.86640984;12.23721678
16;1010.258992;3100.637252;570.212516;1067.157535;1424.023586;95.96915597;909.6631991;3694.967234;1063.083298;1198.9509;1346.086975;726.4294801;3215.220709;3080.178199;160000;3.990523017;12.24751715;2.252339438;4.215272262;5.624893164;0.379078166;3.593169637;14.59512057;4.199179028;4.735856056;5.317043551;2.869396447;12.7001218;12.16670389
17;1010.297637;3260.860345;603.9545754;1067.157535;1504.343631;101.6994754;909.6745095;3753.694156;1119.046603;1270.717245;1421.182613;726.4294801;3372.239481;3253.870042;170000;3.75593004;12.12272787;2.245289951;3.96731507;5.592618674;0.378082755;3.381848765;13.95491004;4.160220311;4.724078229;5.283455362;2.70060842;12.53679619;12.09674039
18;1010.319171;3417.630771;637.4819959;1067.157535;1583.713717;107.3992937;909.6803523;3804.843966;1173.917765;1342.122067;1495.297257;726.4294801;3524.916309;3425.502943;180000;3.547342869;11.99968137;2.238270119;3.746908677;5.560594827;0.377090853;3.193988793;13.35922993;4.121755707;4.712339703;5.250154812;2.550574619;12.37637282;12.02732144
19;1010.331171;3571.022934;670.7961429;1067.157535;1662.145079;113.0687733;909.6833706;3849.394286;1227.718097;1413.167189;1568.44372;726.4294801;3673.371258;3595.101309;190000;3.360680526;11.87834997;2.231279802;3.549702957;5.528819421;0.376102446;3.025894159;12.80430099;4.083778093;4.700640333;5.21713911;2.41633385;12.21879282;11.95844225
20;1010.337857;3721.109632;703.8983729;1067.157535;1739.648821;118.7080757;909.6849298;3888.196598;1280.468499;1483.854421;1640.634651;726.4294801;3817.721073;3762.689258;200000;3.192667628;11.75870644;2.224318858;3.37221781;5.497290274;0.375117519;2.874604378;12.28670125;4.046280456;4.68897997;5.184405496;2.295517157;12.06399859;11.89009806
21;1010.341583;3867.962095;736.790034;1067.157535;1816.235913;124.3173614;909.6857353;3921.992529;1332.189458;1554.185567;1711.882532;726.4294801;3958.079271;3928.290621;210000;3.040647049;11.64072402;2.21738715;3.211636009;5.466005223;0.374136059;2.73772088;11.8033299;4.009255894;4.677358468;5.151951238;2.186206816;11.91193381;11.82228416
22;1010.343659;4011.650018;769.4724658;1067.157535;1891.917196;129.8967903;909.6861514;3951.428014;1382.901066;1624.16242;1782.199682;726.4294801;4094.556229;4091.928948;220000;2.902441783;11.52437642;2.210484538;3.065652554;5.434962127;0.373158052;2.613280217;11.35137502;3.972697608;4.665775681;5.119773631;2.086833779;11.76254335;11.75499589
23;1010.344816;4152.241593;801.9469991;1067.157535;1966.703384;135.4465213;909.6863663;3977.06565;1432.62302;1693.786766;1851.598259;726.4294801;4227.259274;4253.627507;230000;2.776251841;11.40963777;2.203610884;2.932363313;5.404158865;0.372183485;2.499659928;10.92828474;3.936598907;4.654231462;5.08787;1.996101876;11.61577331;11.68822863
24;1010.34546;4289.803545;834.2149563;1067.157535;2040.605064;140.9667124;909.6864774;3999.395447;1481.374633;1763.06038;1920.090264;726.4294801;4356.292762;4413.409293;240000;2.660576378;11.29648267;2.196766052;2.810181508;5.373593334;0.371212343;2.395507724;10.53174134;3.900953201;4.642725668;5.056237696;1.912930964;11.47157094;11.6219778
25;1010.345819;4424.401159;866.2776517;1067.157535;2113.632695;146.457521;909.6865347;4018.844192;1529.174842;1831.985029;1987.687539;726.4294801;4481.758167;4571.297027;250000;2.554154231;11.18488613;2.189949904;2.697774248;5.343263453;0.370244613;2.29968756;10.15963812;3.865754002;4.631258153;5.024874099;1.836413726;11.32988464;11.55623889
26;1010.346019;4556.098313;898.1363909;1067.157535;2185.796617;151.9191033;909.6865644;4035.783605;1576.042214;1900.56247;2054.401772;726.4294801;4603.754153;4727.313162;260000;2.455918017;11.07482359;2.183162304;2.5940137;5.313167161;0.369280282;2.21123811;9.810058609;3.830994921;4.619828774;4.993776616;1.765782429;11.19066394;11.49100738
27;1010.346131;4684.957511;929.7924712;1067.157535;2257.107043;157.3516149;909.6865797;4050.537448;1621.994954;1968.794453;2120.244499;726.4294801;4722.376658;4881.479883;270000;2.364958351;10.96627091;2.176403118;2.497939118;5.283302413;0.368319336;2.129340438;9.481258026;3.79666967;4.608437387;4.96294268;1.700383079;11.05385944;11.42627884
28;1010.346193;4811.039907;961.2471819;1067.157535;2327.57407;162.7552107;909.6865876;4063.387708;1667.050911;2036.682719;2185.227104;726.4294801;4837.718968;5033.819114;280000;2.280495693;10.85920436;2.16967221;2.408727007;5.253667186;0.367361761;2.053292583;9.171646542;3.762772056;4.597083851;4.932369749;1.639655112;10.91942281;11.36204886
29;1010.346228;4934.40534;992.5018038;1067.157535;2397.207671;168.1300444;909.6865917;4074.579993;1711.227585;2104.228998;2249.360823;726.4294801;4949.871788;5184.352516;290000;2.201857986;10.7536006;2.162969448;2.325667455;5.224259475;0.366407545;1.9824894;8.879774329;3.729295979;4.585768022;4.902055312;1.583115281;10.78730679;11.29831307
30;1010.346247;5055.112357;1023.55761;1067.157535;2466.017703;173.4762692;909.6865938;4084.328217;1754.542137;2171.435013;2312.656746;726.4294801;5058.923314;5333.101497;300000;2.128462761;10.6494367;2.156294698;2.248145206;5.195077294;0.365456674;1.916406424;8.604318111;3.696235435;4.57448976;4.871996879;1.530344771;10.65746512;11.23506715
