;Audio_cold_R;YouTube_DD_cold_R;YouTube_DD_warm_R;YouTube_OLV_cold_R;YouTube_OLV_warm_R;OTT_cold_R;OTT_warm_R;PDM_cold_R;PDM_hot_R;PDM_warm_R;POLV_cold_R;POLV_hot_R;POLV_warm_R;OOH_warm_R;Partnership_cold_R;Partnership_warm_R;Primary_Search_hot_R;Secondary_Search_hot_R;Facebook_cold_R;Facebook_hot_R;Facebook_warm_R;Social_cold_R;Social_warm_R;Social_hot_R;DD_cold_R;DD_hot_R;DD_warm_R;OLV_cold_R;OLV_warm_R;investments ;Audio_cold_ROAS;YouTube_DD_cold_ROAS;YouTube_DD_warm_ROAS;YouTube_OLV_cold_ROAS;YouTube_OLV_warm_ROAS;OTT_cold_ROAS;OTT_warm_ROAS;PDM_cold_ROAS;PDM_hot_ROAS;PDM_warm_ROAS;POLV_cold_ROAS;POLV_hot_ROAS;POLV_warm_ROAS;OOH_warm_ROAS;Partnership_cold_ROAS;Partnership_warm_ROAS;Primary_Search_hot_ROAS;Secondary_Search_hot_ROAS;Facebook_cold_ROAS;Facebook_hot_ROAS;Facebook_warm_ROAS;Social_cold_ROAS;Social_warm_ROAS;Social_hot_ROAS;DD_cold_ROAS;DD_hot_ROAS;DD_warm_ROAS;OLV_cold_ROAS;OLV_warm_ROAS
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;438.4609158;602.0674545;457.5511943;84.86767429;112.4077938;564.0370223;488.3603225;76.16910072;166.2064249;109.9959678;857.8885692;238.9047078;39.57334943;716.9880311;354.078378;51.35547552;72.40075007;102.6620039;385.6928588;226.8530584;211.8469087;244.3098626;229.1541459;258.8814459;294.8043767;55.85193583;268.1282959;29.75400605;35.12935427;10000;27.71072988;38.05066312;28.91723548;5.363637015;7.10417257;35.64713981;30.86437238;4.813887165;10.50424605;6.951745167;5.421855757;1.509877753;0.250103568;45.31364356;22.37775349;3.245666053;4.575727405;6.488238646;24.37578868;14.33711329;13.38872463;15.44038331;14.48254202;16.36130738;18.63163661;3.529842345;16.9457083;1.880453182;2.22017519
2;684.2482889;1096.831588;622.1739956;166.35369;217.5638218;564.0370223;488.3604073;76.16923175;327.6193413;214.6371798;1419.395747;238.9047078;79.11069202;717.6061483;559.6884211;51.35547681;144.4573404;203.8212;737.5739951;444.2166596;417.8378666;455.5624714;449.4380973;453.0339778;573.5551171;55.85193583;521.6308222;59.24456919;69.75008089;20000;21.62224593;34.65987818;19.66069826;5.256776604;6.875016768;17.82356991;15.43218887;2.406947723;10.35277118;6.782534882;4.485290561;0.754938877;0.249989787;22.67635429;17.68615411;1.622833067;4.564851958;6.440749921;23.30733825;14.03724644;13.20367658;14.3957741;14.20224388;14.3158737;18.1243417;1.764921172;16.48353398;1.872128386;2.204102556
3;822.0289453;1503.416508;681.4037976;244.5927936;315.9359171;564.0370223;488.3604073;76.16923175;484.3769973;314.1843128;1786.914703;238.9047078;118.6120605;717.6066812;679.0842736;51.35547681;216.1714071;303.4995872;1058.60751;652.4877557;618.1347461;638.230761;661.1952056;598.6419625;837.1264254;55.85193583;761.3053804;88.47402195;103.8695441;30000;17.31740978;31.67197444;14.35490667;5.152754851;6.655716653;11.88237994;10.28812591;1.604631816;10.20420874;6.61881619;3.764433641;0.503292584;0.249876074;15.11758075;14.30604203;1.081888712;4.554010976;6.393724636;22.30133154;13.74574205;13.02203865;13.4453947;13.929179;12.61139068;17.63546336;1.176614115;16.03816668;1.863852729;2.188185063
4;899.2644397;1837.537933;702.7141473;319.7143623;407.9617317;564.0370223;488.3604073;76.16923175;636.6136539;408.8853537;2027.464046;238.9047078;158.0774877;717.6066816;748.4163422;51.35547681;287.5445782;401.7188419;1351.497656;852.0466941;812.894945;796.182439;864.7555313;707.8431406;1086.344901;55.85193583;987.9062536;117.4446762;137.4950016;40000;14.20837815;29.03309934;11.10288353;5.051486924;6.445795361;8.911784953;7.716094435;1.203473862;10.05849573;6.460388588;3.203393193;0.377469438;0.249762431;11.33818557;11.82497821;0.811416534;4.543204335;6.347157703;21.35366297;13.46233777;12.84374013;12.57968254;13.66313739;11.18392162;17.16424943;0.882460586;15.60891881;1.855625884;2.172421026
5;942.5602241;2112.11065;710.3814193;391.8426181;494.0506835;564.0370223;488.3604073;76.16923175;784.4596998;498.9762168;2184.908949;238.9047078;197.5070062;717.6066816;788.676834;51.35547681;358.5784742;498.5003237;1618.71162;1043.257912;1002.27151;932.7618783;1060.436359;789.7404165;1321.99213;55.85193583;1202.146581;146.1588234;170.633606;50000;11.91396123;26.69707862;8.979221139;4.952890693;6.244800639;7.129427962;6.172875548;0.962779089;9.915570605;6.307059381;2.761724912;0.301975551;0.249648856;9.070548456;9.968875182;0.649133227;4.532431914;6.301044092;20.46051488;13.18678;12.66871189;11.79011014;13.40391558;9.982318865;16.70998053;0.705968469;15.19513278;1.847447528;2.156808779
6;966.8304765;2337.747714;713.1400347;461.0968335;574.5857772;564.0370223;488.3604073;76.16923175;928.0417632;584.6813322;2287.960146;238.9047078;236.9006487;717.6066816;812.0557296;51.35547681;429.2747079;593.8650792;1862.500301;1226.470601;1186.413258;1050.860929;1248.542691;851.1606678;1544.807138;55.85193583;1404.700601;174.6187346;203.2924061;60000;10.18394769;24.62427593;7.511741699;4.856886646;6.05230352;5.941189968;5.144062957;0.802315908;9.775373239;6.158643365;2.409984687;0.251646292;0.24953535;7.55879038;8.553653685;0.540944356;4.52169359;6.255378835;19.6183365;12.91882366;12.49688632;11.06906845;13.15131635;8.965559034;16.27196853;0.588307057;14.79617966;1.839317338;2.141346678
7;980.4356152;2523.170669;714.1325597;527.5915281;649.925309;564.0370223;488.3604073;76.16923175;1067.48282;666.2142039;2355.409449;238.9047078;276.258448;717.6066816;825.6316383;51.35547681;499.6348844;687.8338471;2084.917273;1402.019346;1365.464892;1152.980149;1429.367725;897.2238272;1755.488707;55.85193583;1596.205774;202.8266609;235.4783491;70000;8.851932983;22.78062662;6.447596825;4.763397796;5.867897076;5.092448544;4.40919682;0.68769935;9.637844893;6.014962527;2.126598245;0.215696822;0.249421913;6.478963183;7.45427422;0.463666591;4.510989242;6.210157019;18.82382452;12.65823181;12.32819731;10.40976363;12.9051486;8.100649411;15.84955518;0.504263192;14.41145784;1.831234995;2.126033095
8;988.0622273;2675.546665;714.4896613;591.4366585;720.4044604;564.0370223;488.3604073;76.16923175;1202.902301;743.7779427;2399.556521;238.9047078;315.5804365;717.6066816;833.5150431;51.35547681;569.6606011;780.4270622;2287.836086;1570.224738;1539.567114;1241.281748;1603.193308;931.7696749;1954.697565;55.85193583;1777.264789;230.7848332;267.1982812;80000;7.805691596;21.13681865;5.644468324;4.672349602;5.691195237;4.455892476;3.858047217;0.601736931;9.502928177;5.875845747;1.895649651;0.188734719;0.249308545;5.669092785;6.584768841;0.405708267;4.500318749;6.165373792;18.07390508;12.40477543;12.1625802;9.806125812;12.66522713;7.360980432;15.44211076;0.441230293;14.04039183;1.823200183;2.110866421
9;992.3374657;2800.765487;714.6181432;652.7377998;786.3367891;564.0370223;488.3604073;76.16923175;1334.41619;817.5657713;2428.451762;238.9047078;354.8666468;717.6066816;838.0928634;51.35547681;639.353448;871.6648607;2472.966043;1731.393955;1708.856738;1317.635372;1770.290378;957.6779194;2143.058462;55.85193583;1948.447459;258.4954631;298.4589497;90000;6.968414204;19.66759764;5.018207406;4.583669883;5.521831674;3.960793312;3.429375304;0.534877272;9.370567021;5.741128528;1.705312793;0.167764195;0.249195245;5.039193587;5.88527433;0.360629571;4.48968199;6.121024355;17.3657171;12.15823311;11.99997176;9.252728388;12.43137243;6.725027167;15.04903275;0.392204705;13.68243105;1.815212585;2.095845069
